time,,interface,state,bytes_in,bytes_out,rx_dupe,rx_ooo,re-tx,rtt_avg,rcvsize,tx_win,tc_class,tc_mgt,cc_algo,P,C,R,W,arch,
17:23:10.993159,tcp6 240e:390:9af:5e50:dd5f:3fd7:42d:47fb.61894<->240e:e9:6003:215::87.443,en0,Established,5921,11176,0,0,131,32.56 ms,262144,64128,BE,-,cubic,1,-,-,-,so,
17:23:10.994401,tcp4 127.0.0.1:7890<->127.0.0.1:61917,lo0,Established,7510,5657,0,0,0,1.22 ms,405312,406528,BE,-,cubic,-,-,-,-,so,
17:23:10.995031,tcp4 192.168.1.23:61920<->82.40.35.23:51703,en0,Established,12145,18178,126,0,4143,109.06 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:10.996320,tcp4 127.0.0.1:7890<->127.0.0.1:61931,lo0,Established,7542,10240,0,0,0,1.00 ms,405248,401984,BE,-,cubic,-,-,-,-,so,
17:23:10.996964,tcp4 192.168.1.23:61932<->82.40.35.23:51703,en0,Established,16641,15407,0,0,1340,109.84 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:10.998230,tcp4 127.0.0.1:7890<->127.0.0.1:61944,lo0,Established,7574,5656,0,0,0,1.00 ms,405248,406528,BE,-,cubic,-,-,-,-,so,
17:23:10.998855,tcp4 192.168.1.23:61945<->82.40.35.23:51703,en0,Established,12081,15238,63,0,1139,79.00 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.000127,tcp4 127.0.0.1:7890<->127.0.0.1:61946,lo0,Established,7542,5656,0,0,0,1.00 ms,405248,406528,BE,-,cubic,-,-,-,-,so,
17:23:11.000771,tcp4 192.168.1.23:61947<->82.40.35.23:51703,en0,Established,12081,15206,63,0,1139,111.94 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.002055,tcp4 127.0.0.1:7890<->127.0.0.1:61967,lo0,Established,7510,5656,0,0,0,1.00 ms,405312,406528,BE,-,cubic,-,-,-,-,so,
17:23:11.002696,tcp4 192.168.1.23:61968<->82.40.35.23:51703,en0,Established,12018,15107,0,423,1072,70.97 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.003999,tcp4 127.0.0.1:7890<->127.0.0.1:61974,lo0,Established,7606,5656,0,0,0,1.22 ms,405184,406528,BE,-,cubic,-,-,-,-,so,
17:23:11.004646,tcp4 192.168.1.23:61975<->82.40.35.23:51703,en0,Established,12018,17313,0,0,3182,109.06 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.005939,tcp4 127.0.0.1:7890<->127.0.0.1:61976,lo0,Established,7546,5632,0,0,0,1.00 ms,405248,406528,BE,-,cubic,-,-,-,-,so,
17:23:11.006573,tcp4 192.168.1.23:61977<->82.40.35.23:51703,en0,Established,12081,15171,126,0,1139,102.78 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.007881,tcp4 127.0.0.1:7890<->127.0.0.1:61978,lo0,Established,7578,5632,0,0,0,1.00 ms,405184,406528,BE,-,cubic,-,-,-,-,so,
17:23:11.008531,tcp4 192.168.1.23:61979<->82.40.35.23:51703,en0,Established,11955,17112,0,46,3048,110.84 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.009893,tcp4 127.0.0.1:7890<->127.0.0.1:61999,lo0,Established,7514,5634,0,0,0,1.00 ms,405248,406528,BE,-,cubic,-,-,-,-,so,
17:23:11.010567,tcp4 192.168.1.23:62000<->82.40.35.23:51703,en0,Established,12335,15139,378,46,1139,60.22 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.011915,tcp4 127.0.0.1:7890<->127.0.0.1:62169,lo0,Established,243016,10773,0,0,0,1.00 ms,431040,399872,BE,-,cubic,-,-,-,-,so,
17:23:11.012609,tcp4 192.168.1.23:62170<->82.40.35.23:51703,en0,Established,14027,254706,0,735,7958,98.94 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.013992,tcp4 127.0.0.1:7890<->127.0.0.1:64329,lo0,Established,6762,9545,0,0,0,1.00 ms,405248,402048,BE,-,cubic,-,-,-,-,so,
17:23:11.014710,tcp4 192.168.1.23:64330<->82.40.35.23:51703,en0,Established,14849,12893,0,0,737,106.03 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.017640,tcp4 192.168.1.23:65302<->82.40.35.23:51703,en0,Established,13035,10016,126,0,804,63.38 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.019131,tcp4 192.168.1.23:65304<->82.40.35.23:51703,en0,Established,13035,9882,126,3442,670,86.34 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.020635,tcp4 127.0.0.1:7890<->127.0.0.1:65368,lo0,Established,6398,9234,0,0,0,1.00 ms,405248,401984,BE,-,cubic,-,-,-,-,so,
17:23:11.021414,tcp4 192.168.1.23:65369<->82.40.35.23:51703,en0,Established,14249,12385,252,3017,1139,53.78 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.023025,tcp4 127.0.0.1:7890<->127.0.0.1:65370,lo0,Established,6334,4650,0,0,0,1.00 ms,405312,406528,BE,-,cubic,-,-,-,-,so,
17:23:11.023810,tcp4 192.168.1.23:65371<->82.40.35.23:51703,en0,Established,9626,11690,252,0,469,86.25 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.026220,tcp4 127.0.0.1:7890<->127.0.0.1:53068,lo0,Established,29100,63357,0,0,0,1.00 ms,404032,356160,BE,-,cubic,-,-,-,-,so,
17:23:11.027018,tcp4 192.168.1.23:53070<->82.40.35.23:51703,en0,Established,78247,50540,458,0,6660,96.59 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.028653,tcp4 127.0.0.1:7890<->127.0.0.1:53769,lo0,Established,4750,7793,0,0,0,1.00 ms,405184,402048,BE,-,cubic,-,-,-,-,so,
17:23:11.029455,tcp4 192.168.1.23:53770<->82.40.35.23:51703,en0,Established,10352,9072,63,0,1775,62.03 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.031071,tcp4 127.0.0.1:7890<->127.0.0.1:53789,lo0,Established,4750,7794,0,0,0,1.00 ms,405184,401984,BE,-,cubic,-,-,-,-,so,
17:23:11.031922,tcp4 192.168.1.23:53790<->82.40.35.23:51703,en0,Established,10217,9005,0,137,1708,117.59 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.033571,tcp4 127.0.0.1:7890<->127.0.0.1:55065,lo0,FinWait2,3790,7970,0,0,0,1.00 ms,404608,400512,BE,-,cubic,-,-,-,-,so,
17:23:11.036078,tcp4 127.0.0.1:7890<->127.0.0.1:56111,lo0,Established,3966,7121,0,0,0,1.00 ms,405184,401984,BE,-,cubic,-,-,-,-,so,
17:23:11.036924,tcp4 192.168.1.23:56113<->82.40.35.23:51703,en0,Established,8452,5421,0,0,0,77.41 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.038660,tcp4 127.0.0.1:7890<->127.0.0.1:56134,lo0,Established,3842,2513,0,0,0,1.00 ms,405312,406528,BE,-,cubic,-,-,-,-,so,
17:23:11.039522,tcp4 192.168.1.23:56136<->82.40.35.23:51703,en0,Established,3766,5459,0,0,201,78.16 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.041266,tcp4 127.0.0.1:7890<->127.0.0.1:56686,lo0,Established,5438,4753,0,0,0,1.12 ms,403520,404160,BE,-,cubic,-,-,-,-,so,
17:23:11.042147,tcp4 192.168.1.23:56687<->82.40.35.23:51703,en0,Established,5953,8011,181,0,1508,77.94 ms,131072,65536,BE,-,cubic,1,-,-,-,so,
17:23:11.043920,tcp4 127.0.0.1:7890<->127.0.0.1:56795,lo0,Established,10800,9387,0,0,0,1.00 ms,398528,399552,BE,-,cubic,-,-,-,-,so,
